Source,Target,Type,Id,Label,Weight,color,Color
mobvoi,IBM,Undirected,587,,1,"#000000","#000000"
fau,IBM,Undirected,589,,19,"#000000","#000000"
Alphabet,tu-dresden,Undirected,590,,2132,"#000000","#000000"
Nvidia,tu-dresden,Undirected,591,,44,"#000000","#000000"
MobileIron,tu-dresden,Undirected,593,,30,"#000000","#000000"
Alphabet,wealthsimple,Undirected,594,,128,"#000000","#000000"
Intel,wealthsimple,Undirected,595,,1,"#000000","#000000"
MobileIron,wealthsimple,Undirected,597,,3,"#000000","#000000"
Alphabet,bytedance,Undirected,598,,2396,"#000000","#000000"
Nvidia,bytedance,Undirected,599,,29,"#000000","#000000"
Intel,bytedance,Undirected,600,,9,"#000000","#000000"
MobileIron,bytedance,Undirected,602,,13,"#000000","#000000"
IBM,bytedance,Undirected,603,,10,"#000000","#000000"
bytedance,bytedance,Undirected,604,,3,"#000000","#000000"
Alibaba,bytedance,Undirected,605,,2,"#000000","#000000"
naml,bytedance,Undirected,606,,1,"#000000","#000000"
Alphabet,spotify,Undirected,607,,244,"#000000","#000000"
MobileIron,spotify,Undirected,608,,2,"#000000","#000000"
IBM,spotify,Undirected,609,,12,"#000000","#000000"
ambiqmicro,spotify,Undirected,610,,3,"#000000","#000000"
Alphabet,iisc,Undirected,611,,7172,"#000000","#000000"
Intel,iisc,Undirected,612,,28,"#000000","#000000"
dfki,iisc,Undirected,613,,12,"#000000","#000000"
polymagelabs,iisc,Undirected,615,,110,"#000000","#000000"
AMD,iisc,Undirected,616,,1,"#000000","#000000"
Huawei,iisc,Undirected,617,,7,"#000000","#000000"
IBM,iisc,Undirected,618,,23,"#000000","#000000"
Alphabet,polytechnique,Undirected,619,,251,"#000000","#000000"
MobileIron,polytechnique,Undirected,621,,2,"#000000","#000000"
IBM,polytechnique,Undirected,622,,1,"#000000","#000000"
Alphabet,tcl,Undirected,623,,533,"#000000","#000000"
ARM,tcl,Undirected,625,,2,"#000000","#000000"
Alphabet,xiaomi,Undirected,626,,33,"#000000","#000000"
Alphabet,dcc,Undirected,628,,16,"#000000","#000000"
wealthsimple,IBM,Undirected,630,,1,"#000000","#000000"
Alphabet,Zalando,Undirected,631,,52,"#000000","#000000"
Alphabet,berkeley,Undirected,632,,255,"#000000","#000000"
Intel,berkeley,Undirected,633,,20,"#000000","#000000"
ARM,berkeley,Undirected,634,,7,"#000000","#000000"
MobileIron,berkeley,Undirected,635,,16,"#000000","#000000"
Alphabet,pgroup,Undirected,636,,1485,"#000000","#000000"
Intel,pgroup,Undirected,637,,7,"#000000","#000000"
dfki,pgroup,Undirected,638,,2,"#000000","#000000"
polymagelabs,pgroup,Undirected,640,,4,"#000000","#000000"
Huawei,pgroup,Undirected,641,,1,"#000000","#000000"
IBM,pgroup,Undirected,642,,1,"#000000","#000000"
iisc,pgroup,Undirected,643,,3,"#000000","#000000"
MobileIron,brainscode,Undirected,646,,8,"#000000","#000000"
IBM,brainscode,Undirected,647,,8,"#000000","#000000"
Alphabet,umn,Undirected,648,,1,"#000000","#000000"
Alphabet,Mit,Undirected,649,,8,"#000000","#000000"
Alphabet,cerebras,Undirected,650,,775,"#000000","#000000"
MobileIron,cerebras,Undirected,652,,25,"#000000","#000000"
IBM,cerebras,Undirected,653,,26,"#000000","#000000"
